sort 10 elements, 26, 78
sort 20 elements, 105, 315
sort 30 elements, 209, 627
sort 40 elements, 326, 978
sort 50 elements, 649, 1947
sort 60 elements, 977, 2931
sort 70 elements, 1398, 4194
sort 80 elements, 1706, 5118
sort 90 elements, 2138, 6414
sort 100 elements, 2388, 7164
sort 110 elements, 2590, 7770
sort 120 elements, 3234, 9702
sort 130 elements, 3604, 10812
sort 140 elements, 4767, 14301
sort 150 elements, 5316, 15948
sort 160 elements, 6281, 18843
sort 170 elements, 7998, 23994
sort 180 elements, 8416, 25248
sort 190 elements, 9227, 27681
sort 200 elements, 9543, 28629
sort 210 elements, 10226, 30678
sort 220 elements, 12415, 37245
sort 230 elements, 13558, 40674
sort 240 elements, 14731, 44193
sort 250 elements, 16433, 49299
sort 260 elements, 16651, 49953
sort 270 elements, 18151, 54453
sort 280 elements, 18326, 54978
sort 290 elements, 20284, 60852
sort 300 elements, 23027, 69081
sort 310 elements, 24470, 73410
sort 320 elements, 25180, 75540
sort 330 elements, 27082, 81246
sort 340 elements, 27998, 83994
sort 350 elements, 31128, 93384
sort 360 elements, 32514, 97542
sort 370 elements, 36047, 108141
sort 380 elements, 36385, 109155
sort 390 elements, 35310, 105930
sort 400 elements, 38821, 116463
sort 410 elements, 41488, 124464
sort 420 elements, 44234, 132702
sort 430 elements, 47987, 143961
sort 440 elements, 49965, 149895
sort 450 elements, 49335, 148005
sort 460 elements, 54337, 163011
sort 470 elements, 58704, 176112
sort 480 elements, 59883, 179649
sort 490 elements, 61676, 185028
sort 500 elements, 63393, 190179
sort 510 elements, 63821, 191463
sort 520 elements, 67732, 203196
sort 530 elements, 71394, 214182
sort 540 elements, 71358, 214074
sort 550 elements, 73584, 220752
sort 560 elements, 81257, 243771
sort 570 elements, 82399, 247197
sort 580 elements, 82975, 248925
sort 590 elements, 85759, 257277
sort 600 elements, 87791, 263373
sort 610 elements, 92714, 278142
sort 620 elements, 97224, 291672
sort 630 elements, 93931, 281793
sort 640 elements, 100666, 301998
sort 650 elements, 106244, 318732
sort 660 elements, 105503, 316509
sort 670 elements, 113492, 340476
sort 680 elements, 111859, 335577
sort 690 elements, 119556, 358668
sort 700 elements, 122670, 368010
sort 710 elements, 123344, 370032
sort 720 elements, 127669, 383007
sort 730 elements, 131541, 394623
sort 740 elements, 139167, 417501
sort 750 elements, 143391, 430173
sort 760 elements, 146775, 440325
sort 770 elements, 149557, 448671
sort 780 elements, 149298, 447894
sort 790 elements, 154151, 462453
sort 800 elements, 160664, 481992
sort 810 elements, 158779, 476337
sort 820 elements, 165236, 495708
sort 830 elements, 172477, 517431
sort 840 elements, 180847, 542541
sort 850 elements, 183622, 550866
sort 860 elements, 181912, 545736
sort 870 elements, 187335, 562005
sort 880 elements, 195111, 585333
sort 890 elements, 199732, 599196
sort 900 elements, 189236, 567708
sort 910 elements, 201958, 605874
sort 920 elements, 213435, 640305
sort 930 elements, 214721, 644163
sort 940 elements, 223428, 670284
sort 950 elements, 222462, 667386
sort 960 elements, 234410, 703230
sort 970 elements, 223158, 669474
sort 980 elements, 244365, 733095
sort 990 elements, 238191, 714573
sort 1000 elements, 249582, 748746
sort 1010 elements, 253053, 759159
sort 1020 elements, 248457, 745371
sort 1030 elements, 262885, 788655
sort 1040 elements, 277118, 831354
sort 1050 elements, 292848, 878544
sort 1060 elements, 283214, 849642
sort 1070 elements, 289311, 867933
sort 1080 elements, 282986, 848958
sort 1090 elements, 295641, 886923
sort 1100 elements, 306384, 919152
sort 1110 elements, 306700, 920100
sort 1120 elements, 320018, 960054
sort 1130 elements, 316711, 950133
sort 1140 elements, 324044, 972132
sort 1150 elements, 320807, 962421
sort 1160 elements, 337969, 1013907
sort 1170 elements, 332236, 996708
sort 1180 elements, 345254, 1035762
sort 1190 elements, 361612, 1084836
sort 1200 elements, 368302, 1104906
sort 1210 elements, 366431, 1099293
sort 1220 elements, 371694, 1115082
sort 1230 elements, 368612, 1105836
sort 1240 elements, 383479, 1150437
sort 1250 elements, 388335, 1165005
sort 1260 elements, 398688, 1196064
sort 1270 elements, 405388, 1216164
sort 1280 elements, 428140, 1284420
sort 1290 elements, 407957, 1223871
sort 1300 elements, 425434, 1276302
sort 1310 elements, 447928, 1343784
sort 1320 elements, 434002, 1302006
sort 1330 elements, 439809, 1319427
sort 1340 elements, 438868, 1316604
sort 1350 elements, 454134, 1362402
sort 1360 elements, 453803, 1361409
sort 1370 elements, 475702, 1427106
sort 1380 elements, 471231, 1413693
sort 1390 elements, 461935, 1385805
sort 1400 elements, 488361, 1465083
sort 1410 elements, 492718, 1478154
sort 1420 elements, 518219, 1554657
sort 1430 elements, 503229, 1509687
sort 1440 elements, 520258, 1560774
sort 1450 elements, 520171, 1560513
sort 1460 elements, 534087, 1602261
sort 1470 elements, 533619, 1600857
sort 1480 elements, 549588, 1648764
sort 1490 elements, 559024, 1677072
sort 1500 elements, 576353, 1729059
sort 1510 elements, 557353, 1672059
sort 1520 elements, 578851, 1736553
sort 1530 elements, 584312, 1752936
sort 1540 elements, 584898, 1754694
